exerciseId,displayName,releaseStatus,setType,currentSetCount,currentTargetSemantics,orientation,equipment,support,laterality,setupModel,firstUseCueKey,firstUseScript,laterSetCueKey,laterSetScript,targetPlan,sideVariants,sideChangeCueKey,sideChangeScript,progressPolicy,safetyFamily,safetyAbsorbed,finalPositionRequired,repeatInstructionKeys,implementationRequirements,runtimeStatus,semanticMatch,sourceFiles,notes
balance-feet-together-hold,Feet-Together Hold,v1_core,hold,3,20 sec hold,front,counter,counter,both_sides_not_scored_separately,balance_setup,ex-balance-feet-together-hold-first-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",ex-balance-feet-together-hold-next-v21,Feet-together hold.,Hold for twenty seconds.,,,,hold_20_seconds,balance_support,true,true,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/balanceRung.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
balance-single-leg-hold,Single-Leg Hold,v1_core,hold,3,15 sec hold,front,counter,counter,both_sides_round_required,balance_setup,ex-balance-single-leg-hold-first-v21,Single-leg hold. Keep support close.,ex-balance-single-leg-hold-next-v21,Single-leg hold.,Hold for fifteen seconds.,left:side-single-leg-left-v21;right:side-single-leg-right-v21,switch-legs-v21,Switch legs.,hold_15_seconds,balance_support,true,true,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;target-balance-single-leg-hold-v21,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/balanceRung.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
balance-tandem-hold,Tandem Hold,v1_core,hold,3,20 sec hold,front,counter,counter,both_sides_round_required,balance_setup,ex-balance-tandem-hold-first-v21,Tandem hold. Keep support close.,ex-balance-tandem-hold-next-v21,Tandem hold.,Hold for twenty seconds.,left_front:side-tandem-left-front-v21;right_front:side-tandem-right-front-v21,switch-foot-positions-v21,Switch foot positions.,hold_20_seconds,balance_support,true,true,ex-balance-tandem-hold-first-v21;side-tandem-left-front-v21;target-balance-tandem-hold-v21,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/balanceRung.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
band-pull-apart,Band Pull-Apart,v1_core,timer,2,30 sec timed set,front,long_band,,bilateral_simultaneous,band_setup,ex-band-pull-apart-first-v21,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",ex-band-pull-apart-next-v21,Band pull-apart.,Move for thirty seconds.,,,,timer_30_seconds,long_band_handheld_or_foot_anchored,false,true,ex-band-pull-apart-first-v21;target-band-pull-apart-v21,IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/pullUpperBack.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
chair-supported-split-squat,Chair-Supported Split Squat,v1_optional,reps,2,8 reps per set,side,chair;counter,counter;chair,both_sides_round_required,chair_setup,ex-chair-supported-split-squat-first-v21,Supported split squat. Keep fingertips near support.,ex-chair-supported-split-squat-next-v21,Supported split squat.,Aim for eight reps.,left_forward:side-split-squat-left-forward-v21;right_forward:side-split-squat-right-forward-v21,switch-sides-v21,Switch sides.,rep_sfx_only,chair_seat,true,true,ex-chair-supported-split-squat-first-v21;side-split-squat-left-forward-v21;target-chair-supported-split-squat-v21,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/supportedSquat.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
glute-bridge-hold,Bridge Hold,v1_core,hold,3,20 sec hold,side,floor,,bilateral_simultaneous,floor_setup,ex-glute-bridge-hold-first-v21,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",ex-glute-bridge-hold-next-v21,Bridge hold.,Hold for twenty seconds.,,,,hold_20_seconds,floor_eligible_user,false,true,ex-glute-bridge-hold-first-v21;target-glute-bridge-hold-v21,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/gluteBridge.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
glute-bridge-reps,Glute Bridge,v1_core,reps,3,12 reps per set,side,floor,,bilateral_simultaneous,floor_setup,ex-glute-bridge-reps-first-v21,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",ex-glute-bridge-reps-next-v21,Glute bridge.,Aim for twelve reps.,,,,rep_sfx_only,floor_eligible_user,false,true,ex-glute-bridge-reps-first-v21;target-glute-bridge-reps-v21,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/gluteBridge.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
heel-raise-free,Heel Raise,v1_core,reps,3,18 reps per set,side,none,,bilateral_simultaneous,standing_general,ex-heel-raise-free-first-v21,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",ex-heel-raise-free-next-v21,Heel raise.,Aim for eighteen reps.,,,,rep_sfx_only,none,true,true,ex-heel-raise-free-first-v21;target-heel-raise-free-v21,,software_ready_audio_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/heelRaise.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
heel-raise-supported,Supported Heel Raise,v1_core,reps,2,15 reps per set,side,wall;counter,counter;wall,bilateral_simultaneous,standing_general,ex-heel-raise-supported-first-v21,"Supported heel raise. Fingertips near support. Rise onto the balls of your feet, then lower slowly.",ex-heel-raise-supported-next-v21,Supported heel raise.,Aim for fifteen reps.,,,,rep_sfx_only,generic_support,true,true,ex-heel-raise-supported-first-v21;target-heel-raise-supported-v21,IR-VOICE-SAFETY-SUBSUMPTION,behavior_dependency_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/heelRaise.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
hip-hinge-free,Hip Hinge,v1_core,reps,3,12 reps per set,side,none,,bilateral_simultaneous,standing_general,ex-hip-hinge-free-first-v21,"Hip hinge. Feet under hips. Send hips back with a long spine, then stand tall.",ex-hip-hinge-free-next-v21,Hip hinge.,Aim for twelve reps.,,,,rep_sfx_only,none,true,true,ex-hip-hinge-free-first-v21;target-hip-hinge-free-v21,,software_ready_audio_pending,true,src/exercises/index.ts;src/exercises/ladders.ts;src/exercises/hipHinge.ts;docs/specs/HALE_VOICE_SCRIPT_MANIFEST_V2_1.csv;docs/specs/HALE_VOICE_EXPERIENCE_SPEC_V2_1.md,V2.1 contract reconciled to current exercise registry and approved script baseline.
