logicalCueKey,exactScript,flows,categories,policyId,requiredForVoiceFirst,lifecycle,reuseDecision,physicalCueKey,physicalManifestStatus,claraExists,marcusExists,semanticMatch,generationRequiredLater,retireLater,sourceArtifacts,notes
checkup-balance-complete-v21,Balance check complete.,balance_v2,completion,result_transition,true,physical_ready,reuse_exact_existing_pair,mpv2_balance_complete,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing MPV2 completion is exact.
checkup-balance-feet-together-v21,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,balance-feet-together,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing generic cue omits eyes-open/support language.
checkup-balance-intro-v21,Balance check. Keep support within easy reach. I will guide each stance.,balance_v2;movement_checkup,balance_setup;mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-intro-v21,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts;src/movements/balanceEyesOpenV2.ts,Approved V2.1 intro already exists. MPV2 source=approved_v21; priority=60.
checkup-balance-next-stance-v21,Nicely done. I will guide the next stance.,balance_v2,balance_control,result_transition,true,script_mismatch,existing_pair_script_mismatch,item-complete-v21,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Generic completion lacks next-stance meaning.
checkup-balance-semi-tandem-left-v21,Place your left foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,balance-semi-tandem,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-right-v21,Place your right foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,balance-semi-tandem,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-single-leg-left-v21,Stand on your left leg and lift your right foot slightly.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,checkup-balance-single-leg-v21,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-single-leg-right-v21,Stand on your right leg and lift your left foot slightly.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,checkup-balance-single-leg-v21,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-single-leg-v21,Single-leg. Stand on your selected leg and lift the other foot slightly.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-balance-single-leg-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-balance-support-touch-v21,Support touch noted. Balance check complete.,balance_v2,balance_control,instruction,true,pending_audio,new_pair_required,checkup-balance-support-touch-v21,not_manifested,false,false,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Needed if explicit support-touch action should be acknowledged by voice.
checkup-balance-tandem-left-v21,Place your left foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,balance-tandem,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-tandem-right-v21,Place your right foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,true,script_mismatch,existing_pair_script_mismatch,balance-tandem,manifested_pair,true,true,false,true,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-chair-stand-intro-v21,"Chair stand. Sit in the middle of a sturdy chair, side-on to the phone.",movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-chair-stand-intro-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-chair-stand-setup-v21,"Cross your arms. When I say go, stand fully and sit with control until I say time.",movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-chair-stand-setup-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-complete-v21,Check-up complete. Your results are ready.,movement_checkup,mpv2_completion,result_transition,true,physical_ready,reuse_exact_existing_pair,checkup-complete-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=70.
checkup-hinge-setup-v21,Slowly fold from your hips and reach toward the floor. Hold there until I say stand tall.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-hinge-setup-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-shoulder-raise-left-v21,Raise your left arm as high as comfortable. Hold there until I say relax.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-shoulder-raise-left-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-shoulder-raise-right-v21,Raise your right arm as high as comfortable. Hold there until I say relax.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-shoulder-raise-right-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-shoulder-turn-left-v21,Turn so your left side is nearest the phone.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-shoulder-turn-left-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
checkup-shoulder-turn-right-v21,Turn so your right side is nearest the phone.,movement_checkup,mpv2_setup,instruction,true,physical_ready,reuse_exact_existing_pair,checkup-shoulder-turn-right-v21,manifested_pair,true,true,true,false,false,src/audio/movementProfileV2AudioManifest.ts;src/movementProfileV2/voiceCues.ts,MPV2 source=approved_v21; priority=60.
close-your-eyes,Keep holding and gently close your eyes.,balance_v2,balance_control,instruction,false,conditional_legacy_only,conditional_legacy_only,close-your-eyes,manifested_pair,true,true,true,false,false,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Not reachable in V2 default.
